,Rank,Mark,Player Name,DOB,Nat,Pos,Venue,Date
26,118,10.58,Ramaan ANSLEY,14 SEP 1991,JAM,1sf2,"Norfolk, VA (USA)",04 AUG 2010
27,118,10.58,Tan JUQUAN,15 JAN 1992,CHN,2h3,Jinan (CHN),05 AUG 2010
28,118,10.58,Hisyam ALIAS,1993,MAS,1h1,Seremban (MAS),28 OCT 2010
29,118,10.58,Benjamin JAWORSKI,14 OCT 1993,AUS,1,Melbourne (AUS),04 DEC 2010
30,130,10.59,Jake HAMMOND,05 DEC 1991,AUS,2f2,Canberra (AUS),30 JAN 2010
31,130,10.59,Antwan WRIGHT,17 NOV 1993,USA,2,"Miami, FL (USA)",21 APR 2010
32,130,10.59,Kaelin CLAY,03 JAN 1992,USA,5,"Norwalk, CA (USA)",28 MAY 2010
33,130,10.59,Zhenye XIE,17 AUG 1993,CHN,5h2,Chongqing (CHN),26 JUN 2010
34,130,10.59,Arthur DELANEY,23 JUN 1993,USA,2f2,"Eugene, OR (USA)",02 JUL 2010
35,130,10.59,Pieter DE RYCKE,05 MAR 1991,BEL,1f2,Mannheim (GER),03 JUL 2010
36,130,10.59,Dániel KARLIK,12 JAN 1991,HUN,1f1,Székesfehérvár (HUN),03 JUL 2010
37,137,10.60,Delano WILLIAMS,23 DEC 1993,TKS,2,Kingston (JAM),26 MAR 2010
38,137,10.60,Jesse URI-KHOB,19 MAR 1991,NAM,1,Windhoek (NAM),09 APR 2010
39,137,10.60,Dennis MOORE,,USA,3,"Boone, NC (USA)",25 APR 2010
40,137,10.60,Derrick HOPKINS,1991,USA,2h4,"Cincinnati, OH (USA)",01 MAY 2010
41,137,10.60,Aaron SCOTT,,USA,3,"Albuquerque, NM (USA)",05 JUN 2010
42,137,10.60,Trevon GREENE,27 DEC 1991,BAH,4,Nassau (BAH),12 JUN 2010
43,137,10.60,Simon Rønsholm SANDVIK,27 MAR 1991,NOR,2,Helsingborg (SWE),11 JUL 2010
44,137,10.60,Kendall KEE,23 APR 1993,USA,2sf2,"Norfolk, VA (USA)",04 AUG 2010
45,137,10.60,Aaron ERNEST,08 NOV 1993,USA,2sf3,"Norfolk, VA (USA)",04 AUG 2010
46,137,10.60,Chris DALE,18 JUL 1991,AUS,1f1,Nathan (AUS),13 NOV 2010
47,147,10.61,Matthew TURK,11 AUG 1992,AUS,3,"Olympic Park, Melbourne (AUS)",04 MAR 2010
48,147,10.61,Brandon TOMLINSON,21 MAY 1991,JAM,2h2,Kingston (JAM),06 MAR 2010
49,147,10.61,Akani SIMBINE,21 SEP 1993,RSA,,Germiston (RSA),13 MAR 2010
50,147,10.61,Justin ANDERSON,08 FEB 1991,USA,1f8,"Arlington, TX (USA)",27 MAR 2010
51,147,10.61,James GRIMM,22 MAR 1991,AUS,3h2,Sydney (AUS),27 MAR 2010
52,147,10.61,Isaac BELL,,USA,1f9,"Lewisburg, PA (USA)",10 APR 2010
53,147,10.61,George ATKINSON,29 NOV 1992,USA,1f1,"Arcadia, CA (USA)",10 APR 2010
54,147,10.61,Beejay LEE,05 MAR 1993,USA,1,"Walnut, CA (USA)",17 APR 2010
55,147,10.61,Garic WHARTON,22 DEC 1991,USA,1,"Las Vegas, NV (USA)",10 MAY 2010
56,147,10.61,Tevin HESTER,10 JAN 1994,USA,2,"Greensboro, NC (USA)",15 MAY 2010
57,147,10.61,Demarcus JACKSON,1994,USA,3,"Austin, TX (USA)",15 MAY 2010
58,147,10.61,Torian OAKLEY,02 AUG 1992,USA,4,"Austin, TX (USA)",15 MAY 2010
59,147,10.61,Benjamin GEORG,12 MAR 1991,FRA,1h7,Weinheim (GER),22 MAY 2010
60,147,10.61,Paulo Sérgio OLIVEIRA,01 JUN 1993,BRA,1,São Paulo (BRA),05 JUN 2010
61,147,10.61,Jordan HUGGINS,17 MAY 1991,GBR,3,Bedford (GBR),19 JUN 2010
62,147,10.61,Nicholas HOUGH,20 OCT 1993,AUS,1f1,Brisbane (AUS),26 JUN 2010
63,147,10.61,James Kwabeme TAKYI,08 DEC 1995,GHA,2h1,Lappeenranta (FIN),15 JUL 2010
64,147,10.61,Hyun-tae HWANG,22 MAY 1992,KOR,1,Jeonju (KOR),03 SEP 2010
65,147,10.61,Giovanni GALBIERI,08 JAN 1993,ITA,1,Rieti (ITA),03 OCT 2010
66,166,10.62,Andrew FISHER,15 DEC 1991,JAM,1h6,Kingston (JAM),06 MAR 2010
67,166,10.62,Kamilu ISOJOLA,23 JUN 1993,NGR,1h7,Kaduna (NGR),26 MAR 2010
68,166,10.62,Defario PHILLIPS,,USA,3,"Winter Park, FL (USA)",28 APR 2010
69,166,10.62,Emmanuel MATADI,15 APR 1991,USA,3h3,"Des Moines, IA (USA)",24 JUN 2010
70,166,10.62,Adrian PEREZ RAMIREZ,01 APR 1994,ESP,1f2,Valencia (ESP),26 JUN 2010
71,166,10.62,Thomas TYNER,14 SEP 1994,USA,2,"Sacramento, CA (USA)",31 JUL 2010
72,166,10.62,Luis Gabriel PEREIRA SILVA,28 JUL 1994,BRA,2,Uberlandia (BRA),04 SEP 2010
73,173,10.63,Ronell DEER,12 APR 1992,JAM,5,Kingston (JAM),26 MAR 2010
74,173,10.63,Edgar HERNÁNDEZ,09 SEP 1991,PUR,2f4,Mayagüez (PUR),27 MAR 2010
75,173,10.63,Diondre BATSON,13 JUL 1992,USA,2f1,"Arcadia, CA (USA)",10 APR 2010
76,173,10.63,Matthew TERRELL,29 AUG 1991,USA,1f5,"Columbus, OH (USA)",01 MAY 2010
77,173,10.63,Hefei PU,27 DEC 1992,CHN,6,Kunshan (CHN),15 MAY 2010
78,173,10.63,Daquarius JOHNSON,1994,USA,2h2,"Hutchinson, KS (USA)",21 MAY 2010
79,173,10.63,Dallas BURROUGHS,,USA,1,"Boise, ID (USA)",21 MAY 2010
80,173,10.63,Justin FREEMAN,17 OCT 1992,USA,4h2,"Clovis, CA (USA)",04 JUN 2010
81,173,10.63,Sergey NESTEROV,09 DEC 1991,RUS,1,Cheboksary (RUS),18 JUN 2010
82,173,10.63,Andimin SANTANA,08 JUL 1991,DOM,1f1,Santo Domingo (DOM),20 JUN 2010
83,173,10.63,Earl HOUSE,15 FEB 1991,USA,4h2,"Des Moines, IA (USA)",24 JUN 2010
84,173,10.63,Guy-Elphege ANOUMAN,13 JUN 1994,FRA,1,Conflans-ste-Honorine (FRA),26 JUN 2010
85,173,10.63,Mateusz JĘDRUSIK,15 MAY 1991,POL,5f1,Białystok (POL),26 JUN 2010
86,173,10.63,Patrick DOMOGALA,14 MAR 1993,GER,2f2,Mannheim (GER),03 JUL 2010
87,173,10.63,Patrick KUHN,05 AUG 1992,GER,2f2,Mannheim (GER),03 JUL 2010
88,173,10.63,Ki-hwa JUNG,15 APR 1991,KOR,1,Changwon (KOR),15 JUL 2010
89,173,10.63,Robin EREWA,24 JUN 1991,GER,1,Ulm (GER),06 AUG 2010
90,173,10.63,Chaiprasert NARAKORN,04 SEP 1991,THA,3sf2,Bangkok (THA),01 OCT 2010
91,173,10.63,. SAPWATURAHMAN,13 MAY 1994,INA,2,Bangkok (THA),03 NOV 2010
92,192,10.64,César RAMÍREZ,21 JAN 1994,MEX,3f2,Ciudad de México (MEX),27 MAR 2010
93,192,10.64,Alexis VIERA,18 APR 1991,MEX,1f3,Ciudad de México (MEX),27 MAR 2010
94,192,10.64,Vincent MICHALET,01 JUL 1992,FRA,3h2,George Town (CAY),03 APR 2010
95,192,10.64,Niko WILLIAMS-RICHEY,06 JUL 1991,USA,6f1,"Lubbock, TX (USA)",10 APR 2010
96,192,10.64,Jordan TAYLOR,12 DEC 1991,USA,1f2,"Walnut, CA (USA)",17 APR 2010
97,192,10.64,William HENRY,05 MAY 1992,USA,2f1,"Davis, CA (USA)",17 APR 2010
98,192,10.64,Delmarick PENDER,,USA,1,"Naples, FL (USA)",21 APR 2010
99,192,10.64,Steven CLARKE,,USA,2,"Miramar, FL (USA)",29 APR 2010
100,192,10.64,Akinyele ABIMBOLA,13 MAY 1994,NGR,2h4,Lagos (NGR),30 APR 2010
101,,,,,,,,
102,192,10.64,Collin MANNING,1991,USA,1,"University Park, PA (USA)",07 MAY 2010
103,192,10.64,Denis OGARKOV,03 DEC 1993,RUS,1,Cheboksary (RUS),07 MAY 2010
104,192,10.64,Bruno HORTELANO-ROIG,18 SEP 1991,ESP,1,"Princeton, NJ (USA)",09 MAY 2010
105,192,10.64,Davonte STEWART,11 JUN 1993,USA,1,"Norwalk, CA (USA)",22 MAY 2010
106,192,10.64,Shiwei CHEN,02 AUG 1991,CHN,5h3,Chongqing (CHN),26 JUN 2010
107,192,10.64,Joao DE SOUZA,20 NOV 1992,BRA,1,Ilha Soteira (BRA),23 JUL 2010
108,207,10.65,Travis REID,,JAM,1f4,Kingston (JAM),20 FEB 2010
109,207,10.65,Fred Charles PIETERSE,16 JAN 1993,NAM,1,Windhoek (NAM),26 MAR 2010
110,207,10.65,Myran ROUNDTREE,28 APR 1991,USA,7f1,"Lubbock, TX (USA)",10 APR 2010
111,207,10.65,Tshepo QHOTSOKOANE,30 JUL 1991,RSA,5,Germiston (RSA),10 APR 2010
112,207,10.65,Siphelo NQGABAZA,04 FEB 1993,RSA,2,Germiston (RSA),10 APR 2010
113,207,10.65,James FOWLER,,USA,1f1,"Williamsburg, KY (USA)",10 APR 2010
114,207,10.65,Corey SHELLINGS,,USA,4,"Winter Park, FL (USA)",28 APR 2010
115,207,10.65,Donte DOTSON,,USA,3,"Miramar, FL (USA)",29 APR 2010
116,207,10.65,Austin LEWIS,09 SEP 1991,USA,4,"Orlando, FL (USA)",16 MAY 2010
117,207,10.65,Tommy SINGLETARY,27 MAY 1991,USA,5h3,"Charlotte, NC (USA)",27 MAY 2010
118,207,10.65,Martin ŘÍČAŘ,28 MAY 1991,CZE,1f2,Praha (CZE),06 JUN 2010
119,207,10.65,Manuel A. RAMÍREZ,25 AUG 1992,CUB,1,La Habana (CUB),11 JUN 2010
120,207,10.65,Richard PULST,04 DEC 1991,EST,1h3,Valga (EST),29 JUN 2010
121,207,10.65,Sujith KUTTAN,29 APR 1992,IND,1,Bengaluru (IND),01 DEC 2010
122,221,10.66,Gustavo MACHADO DOS SANTOS,21 FEB 1991,BRA,2h2,Medellín (COL),20 MAR 2010
123,221,10.66,Adam CUMMINGS,10 SEP 1993,JAM,3,Kingston (JAM),26 MAR 2010
124,221,10.66,Jerome MUSA-LAWAL,23 FEB 1993,GBR,1f1,Lee Valley (GBR),10 APR 2010
125,221,10.66,Pierre MARAIS,,RSA,3,Germiston (RSA),10 APR 2010
126,221,10.66,Samuel WATKINS,,USA,2,"Naples, FL (USA)",21 APR 2010
127,221,10.66,Dakarai CURRY,,USA,4,"Orlando, FL (USA)",22 APR 2010
128,221,10.66,Justin THOMAS,,USA,4,"Boone, NC (USA)",25 APR 2010
129,221,10.66,Boqi LIN,30 APR 1991,CHN,2h9,Zhaoqing (CHN),29 MAY 2010
130,221,10.66,Francesco BASCIANI,11 APR 1991,ITA,5f1,Rieti (ITA),30 MAY 2010
131,221,10.66,Alejandro HERRERA,04 DEC 1991,CUB,2,La Habana (CUB),11 JUN 2010
132,221,10.66,Jakub PAWLIK,18 APR 1991,POL,1,Sosnowiec (POL),12 JUN 2010
133,221,10.66,André Gorba BIVETI,10 JUN 1992,POR,3h1,Lisboa (POR),26 JUN 2010
134,221,10.66,Qi LI,04 MAY 1995,CHN,1,Huizhou (CHN),11 JUL 2010
135,221,10.66,Leshon COLLINS,11 DEC 1993,USA,1sf1,"Norfolk, VA (USA)",04 AUG 2010
136,221,10.66,Shota YABUCHI,1992,JPN,2h5,Chiba (JPN),01 OCT 2010
137,221,10.66,Kazuya TSUKAMOTO,23 JAN 1994,JPN,4sf2,Chiba (JPN),01 OCT 2010
138,221,10.66,Bambang WIGIANTO,1994,INA,3,Bangkok (THA),03 NOV 2010
139,221,10.66,Simon GREIG,07 JUN 1993,AUS,2,Melbourne (AUS),04 DEC 2010
140,239,10.67,Victor MICHALET,01 JUL 1992,FRA,1f1,Fort-de-France (FRA),20 MAR 2010
141,239,10.67,DeAnthony THOMAS,05 JAN 1993,USA,3f1,"Arcadia, CA (USA)",10 APR 2010
142,239,10.67,Bradley BRITZ,27 MAY 1994,RSA,4,Germiston (RSA),10 APR 2010
143,239,10.67,Nicholas IMHOAPERAMHE,18 APR 1992,NGR,4,Ibadan (NGR),17 APR 2010
144,239,10.67,Eusebio CÁCERES,10 SEP 1991,ESP,2,Madrid (ESP),15 MAY 2010
145,239,10.67,Flavien BILOUNGA NGONO,15 AUG 1991,FRA,1f1,Dijon (FRA),23 MAY 2010
146,239,10.67,Jackson Cesar DA SILVA,22 AUG 1992,BRA,1,Rio de Janeiro (BRA),28 MAY 2010
147,239,10.67,Aldaine RANKINE,03 MAY 1991,JAM,1f4,Kingston (JAM),05 JUN 2010
148,239,10.67,Adam PAWLOWSKI,22 MAR 1992,POL,5h1,Warszawa (POL),08 JUN 2010
149,239,10.67,Felix ROUSSEL,15 AUG 1991,FRA,3f2,La Chaux-de-Fonds (SUI),04 JUL 2010
150,239,10.67,Mahmoud Hafiz IBRAHIM,07 JUN 1993,KSA,1,Beirut (LBN),31 JUL 2010
151,239,10.67,Broderick SNODDY,03 JAN 1993,USA,2,"Sacramento, CA (USA)",01 AUG 2010
152,239,10.67,Yang SHI,17 JAN 1992,CHN,5h1,Jinan (CHN),05 AUG 2010
153,239,10.67,Odain ROSE,19 JUL 1992,SWE,1f1,Akureyri (ISL),28 AUG 2010
154,239,10.67,Farouq ISHIMOTO,14 FEB 1993,JPN,1h4,Chiba (JPN),01 OCT 2010
155,239,10.67,Keisuke HONMA,19 JAN 1993,JPN,2h4,Chiba (JPN),01 OCT 2010
156,255,10.68,Andrew EMSAVANA,17 JUL 1992,AUS,3f8,Perth (AUS),08 JAN 2010
157,255,10.68,Greg HORNSBY,01 JUN 1991,USA,1f4,"Walnut, CA (USA)",16 APR 2010
158,255,10.68,Jammell HARRIS,,USA,2,"Diablo, CA (USA)",28 APR 2010
159,255,10.68,Marcus WALLACE,08 APR 1992,USA,5,"Winter Park, FL (USA)",28 APR 2010
160,255,10.68,Dmitriy SYCHEV,12 JUN 1994,RUS,2,Cheboksary (RUS),07 MAY 2010
161,255,10.68,Markesh WOODSON,06 SEP 1993,USA,1h2,"Lakewood, PA (USA)",20 MAY 2010
162,255,10.68,Devan SPANN,,USA,2,"Norwalk, CA (USA)",22 MAY 2010
163,255,10.68,Bassim EL-SABAWI,,USA,4h1,"Clovis, CA (USA)",04 JUN 2010
164,255,10.68,Christos CHATZIANGELIDIS,10 FEB 1991,CYP,3h4,Patra (GRE),12 JUN 2010
165,255,10.68,Aurel MANGA,24 JUL 1992,FRA,2,Conflans-ste-Honorine (FRA),26 JUN 2010
166,255,10.68,Carl HORSLEY,17 JUN 1992,USA,2h4,"Sacramento, CA (USA)",30 JUL 2010
167,255,10.68,Yanjun LI,,CHN,1,Shenyang (CHN),11 AUG 2010
168,255,10.68,Rodrigo ROCHA,04 AUG 1993,BRA,4,Uberlandia (BRA),04 SEP 2010
169,255,10.68,Kazuki BABA,18 OCT 1992,JPN,2h2,Chiba (JPN),01 OCT 2010
170,255,10.68,Tatsuro SUWA,17 AUG 1994,JPN,2,Chiba (JPN),02 OCT 2010
171,255,10.68,Hugh DONOVAN,18 MAR 1994,AUS,2f1,Nathan (AUS),13 NOV 2010
172,271,10.69,Emelio FERGUSON,16 APR 1993,JAM,2h6,Kingston (JAM),06 MAR 2010
173,271,10.69,Daniel VILLAREAL SAMBRANO,06 MAY 1991,MEX,3h1,Monterrey (MEX),12 MAR 2010
174,271,10.69,Keith BAXTER,,USA,2,"Jacksonville, FL (USA)",20 MAR 2010
175,271,10.69,Dotun ILESANMI,02 FEB 1994,NGR,2h7,Kaduna (NGR),26 MAR 2010
176,271,10.69,Michael DAVIS,,USA,3f1,"Los Angeles, CA (USA)",24 APR 2010
177,271,10.69,Fernando MOURAO DE SOUZA,12 JAN 1991,BRA,5f1,Bragança Paulista (BRA),08 MAY 2010
178,271,10.69,Cordero BONAMY,,BAH,2,"Dickinson, ND (USA)",13 MAY 2010
179,271,10.69,Damon DEES,,USA,1h3,"Los Angeles, CA (USA)",15 MAY 2010
180,271,10.69,Jamar GLENN,,USA,2h2,"Greensboro, NC (USA)",16 MAY 2010
181,271,10.69,Alberto GAVALDÁ,05 NOV 1992,ESP,1h2,Salamanca (ESP),22 MAY 2010
182,271,10.69,Moritz RIEKERT,09 MAR 1992,GER,1,Böblingen (GER),12 JUN 2010
183,271,10.69,Phillip HAYLE,25 JUL 1991,CAN,2f1,Toronto (CAN),12 JUN 2010
184,271,10.69,Frederik CLAES,03 JUL 1992,BEL,3h3,Mannheim (GER),03 JUL 2010
185,271,10.69,Davy GABON,20 JUN 1991,FRA,3h1,Albi (FRA),03 JUL 2010
186,271,10.69,Eustathios FRAGOULIS,09 FEB 1991,GRE,1,Athina (GRE),03 JUL 2010
187,271,10.69,Jiang RUI,13 JAN 1993,CHN,2sf2,Huainan (CHN),16 JUL 2010
188,271,10.69,Eduard VILES,08 FEB 1991,ESP,4h2,Avilés (ESP),17 JUL 2010
189,271,10.69,Chris ROYSTER,24 JAN 1992,USA,3sf2,"Norfolk, VA (USA)",04 AUG 2010
190,271,10.69,Darius WHITE,27 AUG 1991,USA,3sf3,"Norfolk, VA (USA)",04 AUG 2010
191,271,10.69,Per Magnus ARJUN SOLLI,04 JUN 1991,NOR,2f1,Akureyri (ISL),28 AUG 2010
192,271,10.69,Weerawat PHARUEANG,11 MAR 1991,THA,5sf1,Bangkok (THA),01 OCT 2010
193,271,10.69,Akishi HASHIMOTO,1994,JPN,3,Chiba (JPN),02 OCT 2010
194,271,10.69,Seiji MURAYOSHI,21 NOV 1991,JPN,7sf3,Chiba (JPN),02 OCT 2010
195,294,10.70,Akeem HAYNES,03 NOV 1992,CAN,5f1,"Arcadia, CA (USA)",10 APR 2010
196,294,10.70,Demitri BEAL,,USA,3,"Miami, FL (USA)",21 APR 2010
197,294,10.70,Lachaddrick ELLIS,,USA,1,"Jacksonville, FL (USA)",23 APR 2010
198,294,10.70,Harry CHUKWUDIKE,09 JAN 1994,NGR,4sf2,Lagos (NGR),01 MAY 2010
199,294,10.70,Kenneth CHAMBERS,20 AUG 1992,USA,1h1,"Lakewood, PA (USA)",20 MAY 2010
200,294,10.70,Volkan ÇAKAN,11 JUN 1991,TUR,2,Bursa (TUR),22 MAY 2010
201,294,10.70,Carlos RODRÍGUEZ,07 FEB 1992,PUR,1,San Germán (PUR),29 MAY 2010
202,,,,,,,,
203,294,10.70,Petar KREMENSKI,14 JAN 1991,BUL,4,Sofia (BUL),12 JUN 2010
204,294,10.70,Travon GREEN,,BAH,3f2,Nassau (BAH),25 JUN 2010
205,294,10.70,Maksym CHORNIY,15 APR 1991,UKR,1h3,Donetsk (UKR),01 JUL 2010
206,294,10.70,Shekeim GREAVES,11 NOV 1991,BAR,3h2,Santo Domingo (DOM),02 JUL 2010
207,294,10.70,Roland LENGYEL,05 JAN 1991,HUN,2f1,Székesfehérvár (HUN),03 JUL 2010
208,294,10.70,Xiaopeng LUO,02 JAN 1992,CHN,1h2,Huizhou (CHN),11 JUL 2010
209,294,10.70,Justin SCOTT-WESLEY,25 JUN 1993,USA,3h4,"Sacramento, CA (USA)",30 JUL 2010
210,294,10.70,Shawn SMITH,02 FEB 1992,USA,2sf1,"Norfolk, VA (USA)",04 AUG 2010
211,309,10.71,Eric HORSELEY,,USA,1h4,"Dallas, TX (USA)",27 MAR 2010
212,309,10.71,Jeneko PLACE,27 JAN 1994,BER,2,George Town (CAY),03 APR 2010
213,309,10.71,Raymond RICHARDSON,,UAE,1f2,"Macomb, IL (USA)",10 APR 2010
214,309,10.71,Fuqawn GREEN,14 FEB 1991,USA,1f1,"Chapel Hill, NC (USA)",10 APR 2010
215,309,10.71,Lamont BEARD,,USA,3f1,"Davis, CA (USA)",17 APR 2010
216,309,10.71,Tyrel HEMMINGWAY,,USA,1,"Miami, FL (USA)",28 APR 2010
217,309,10.71,Ifiok Andrew UMOH,24 NOV 1992,NGR,1h2,Lagos (NGR),30 APR 2010
218,309,10.71,Mamus EMUOBONUVIE,10 MAR 1994,NGR,2h3,Lagos (NGR),30 APR 2010
219,309,10.71,Jarvis WEST,,USA,2,"Winter Park, FL (USA)",07 MAY 2010
220,309,10.71,Ambrose ANAK JILOM,14 APR 1992,MAS,1,Kota Bahru (MAS),17 MAY 2010
221,309,10.71,Niko DI MARTINO,,USA,3,"Norwalk, CA (USA)",22 MAY 2010
222,309,10.71,Jihaad HOWARD,,USA,4,"South Plainfield, NJ (USA)",03 JUN 2010
223,309,10.71,Ulysess HINSEY,1992,BAH,5,Nassau (BAH),12 JUN 2010
224,309,10.71,Brandon SANDERS,22 APR 1994,USA,2h4,"Greensboro, NC (USA)",17 JUN 2010
225,309,10.71,Luca LAI,24 JUN 1992,ITA,1,Nuoro (ITA),14 JUL 2010
226,309,10.71,Loic BERNARD,19 JAN 1992,FRA,1sf2,Niort (FRA),16 JUL 2010
227,309,10.71,Andre FORD-AZONWANNA,29 NOV 1995,CAN,1f1,Toronto (CAN),20 JUL 2010
228,309,10.71,Warren MARSHALL,16 FEB 1994,USA,1h2,"Sacramento, CA (USA)",30 JUL 2010
229,309,10.71,Marquis DENDY,17 NOV 1992,USA,4sf3,"Norfolk, VA (USA)",04 AUG 2010
230,309,10.71,Amiya KUMAR MALLICK,14 NOV 1992,IND,4sf3,Patiala (IND),05 AUG 2010
231,309,10.71,Denis DIMITROV,10 FEB 1994,BUL,1f1,Edirne (TUR),07 AUG 2010
232,309,10.71,Tahir WALSH,24 FEB 1994,ANT,4f5,Singapore (SGP),21 AUG 2010
233,309,10.71,Katsumi HIYOSHI,08 MAY 1995,JPN,1h3,Chiba (JPN),02 OCT 2010
234,309,10.71,Jean Baptiste Joel BRESSE,21 AUG 1991,MRI,7h1,New Delhi (IND),06 OCT 2010
235,333,10.72,Thomas ROBINSON,,USA,f3,"Atlanta, GA (USA)",18 MAR 2010
236,333,10.72,Karl BARR,1992,USA,3,"Jacksonville, FL (USA)",20 MAR 2010
237,333,10.72,Justin ALLEN,15 NOV 1991,USA,5f2,"Greensboro, NC (USA)",03 APR 2010
238,333,10.72,Isaac PROVITT,,USA,4f1,"Macomb, IL (USA)",10 APR 2010
239,333,10.72,Max DYCE,25 APR 1991,USA,1f2,"Los Angeles, CA (USA)",10 APR 2010
240,333,10.72,Gang ZHAO,19 NOV 1991,CHN,6,Shijiazhuang (CHN),16 APR 2010
241,333,10.72,Ayman JASSER,1991,IRQ,1,Cairo (EGY),06 MAY 2010
242,333,10.72,Rumeal MCKINNEY,,USA,6sf1,"Marion, IN (USA)",28 MAY 2010
243,333,10.72,Tossaporn BOONHAN,22 JUN 1991,THA,7f3,Bengaluru (IND),05 JUN 2010
244,333,10.72,Lewis GONNEL,,DOM,2f1,Santo Domingo (DOM),20 JUN 2010
245,333,10.72,Justin HARRIS,20 JAN 1992,USA,1h6,"Sacramento, CA (USA)",30 JUL 2010
246,333,10.72,Devon RITTINGER,06 MAR 1993,CAN,1f2,Ottawa (CAN),07 AUG 2010
247,333,10.72,Tinashe Samuel MUTANGA,27 JAN 1993,ZIM,6f5,Singapore (SGP),21 AUG 2010
248,333,10.72,Seung-min CHA,30 MAY 1991,KOR,3,Taebaek (KOR),07 SEP 2010
249,333,10.72,Joshua CLARKE,19 MAY 1995,AUS,1,Melbourne (AUS),04 DEC 2010
250,348,10.73,Hensley PAULINA,26 JUN 1993,AHO,3h1,Medellín (COL),20 MAR 2010
251,348,10.73,Salihu ISAH,02 NOV 1991,NGR,1h5,Kaduna (NGR),26 MAR 2010
252,348,10.73,Levine MORGAN,18 DEC 1991,RSA,4f2,Germiston (RSA),06 APR 2010
253,348,10.73,Nigel TALTON,11 JAN 1991,USA,1h3,"Mount Vernon, IA (USA)",10 APR 2010
254,348,10.73,Comfort Oluwayomi OLUGBEMI,22 MAY 1992,NGR,1h6,Ibadan (NGR),16 APR 2010
255,348,10.73,Chen LUO,1992,CHN,1h4,Shijiazhuang (CHN),16 APR 2010
256,348,10.73,Jeremy SMITH,,USA,4,"Miramar, FL (USA)",29 APR 2010
257,348,10.73,Brandon MCGEE,,USA,2h10,"Atlanta, GA (USA)",14 MAY 2010
258,348,10.73,David THOMAS,,USA,4f1,"Trenton, NJ (USA)",20 MAY 2010
259,348,10.73,Julian TAMEZ,13 JUL 1991,MEX,1h2,Guadalajara (MEX),28 MAY 2010
260,348,10.73,Byron MARSHALL,13 FEB 1994,USA,5h1,"Clovis, CA (USA)",04 JUN 2010
261,348,10.73,Shamone FLETCHER,,USA,6h1,"Clovis, CA (USA)",04 JUN 2010
262,348,10.73,Shaun POWELL,1992,USA,1f3,"Albuquerque, NM (USA)",05 JUN 2010
